sentence	label
rosenthal ( halloween ii ) seems to have forgotten everything he ever knew about generating suspense .	0
pacino is brilliant as the sleep deprived dormer , his increasing weariness as much existential as it is physical .	1
if they broke out into elaborate choreography , singing and finger snapping it might have held my attention , but as it stands i kept looking for the last exit from brooklyn .	0
could n't someone take rob schneider and have him switch bodies with a funny person ?	0
there are some laughs in this movie , but williams' anarchy gets tiresome , the satire is weak .	0
filled with low brow humor , gratuitous violence and a disturbing disregard for life .	0
it 's a hoot and a half , and a great way for the american people to see what a candidate is like when he 's not giving the same 15 cent stump speech .	1
one of the best films of the year with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes of tenderness , loss , discontent , and yearning .	1
the story the movie tells is of brian de palma 's addiction to the junk calorie suspense tropes that have all but ruined his career .	0
showtime is n't particularly assaultive , but it can still make you feel that you never want to see another car chase , explosion or gunfight again .	0
as violent , profane and exploitative as the most offensive action flick you 've ever seen .	0
none of this is half as moving as the filmmakers seem to think .	0
a savage john waters like humor that dances on the edge of tastelessness without ever quite falling over .	1
like its two predecessors , 1983 's koyaanisqatsi and 1988 's powaqqatsi , the cinematic collage naqoyqatsi could be the most navel gazing film ever .	1
michael moore 's latest documentary about america 's thirst for violence is his best film yet .	1
denis' bare bones narrative more closely resembles an outline for a '70s exploitation picture than the finished product .	0
while solondz tries and tries hard , storytelling fails to provide much more insight than the inside column of a torn book jacket .	0
a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist .	1
despite the 2 d animation , the wild thornberrys movie makes for a surprisingly cinematic experience .	1
add yet another hat to a talented head , clooney 's a good director .	1
. the kind of movie you see because the theater has air conditioning .	0
it 's everything you do n't go to the movies for .	0
the irony is that this film 's cast is uniformly superb their performances could have should have been allowed to stand on their own .	0
sorority boys was funnier , and that movie was pretty bad .	0
a deceivingly simple film , one that grows in power in retrospect .	1
for all its violence , the movie is remarkably dull with only caine making much of an impression .	0
as a director , paxton is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head trip .	1
this is a third person story now , told by hollywood , and much more ordinary for it .	0
a loud , low budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '	0
overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .	1
new best friend 's playboy mansion presentation of college life is laugh out loud ludicrous .	0
the direction has a fluid , no nonsense authority , and the performances by harris , phifer and cam'ron seal the deal .	1
stuffed to the brim with ideas , american instigator michael moore 's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition .	1
denis forges out of the theories of class based rage and sisterly obsession a razor sided tuning fork that rings with cultural , sexual and social discord .	1
a captivating cross cultural comedy of manners .	1
interesting , but not compelling .	0
there is a general air of exuberance in all about the benjamins that 's hard to resist .	1
there 's much tongue in cheek in the film and there 's no doubt the filmmaker is having fun with it all .	1
the kind of nervous film that will either give you a mild headache or exhilarate you .	1
i do n't know precisely what to make of steven soderbergh 's full frontal , though that did n't stop me from enjoying much of it .	1
intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject .	0
curling may be a unique sport but men with brooms is distinctly ordinary .	0
as a vehicle to savour binoche 's skill , the film is well worthwhile .	1
it 's up to watts to lend credibility to this strange scenario , and her presence succeeds in making us believe .	1
like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .	1
not one moment in the enterprise did n't make me want to lie down in a dark room with something cool to my brow .	0
a dull , dumb and derivative horror film .	0
a hypnotic cyber hymn and a cruel story of youth culture .	1
though mama takes a bit too long to find its rhythm and a third act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .	1
schnieder bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming that 's enough to sustain laughs .	0
if you 're not totally weirded out by the notion of cinema as community therapy spectacle , quitting hits home with disorienting force .	1
the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .	1
davis has a bright , chipper style that keeps things moving , while never quite managing to connect her wish fulfilling characters to the human race .	0
an impressive if flawed effort that indicates real talent .	1
shame on writer director vicente aranda for making a florid biopic about mad queens , obsessive relationships , and rampant adultery so dull .	0
told just proficiently enough to trounce its overly comfortable trappings .	1
it 's not only dull because we 've seen eddie murphy do the genial rogue shtick to death , but because the plot is equally hackneyed .	0
it becomes gimmicky instead of compelling . interview loses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into .	0
director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .	1
its premise is smart , but the execution is pretty weary .	0
its generic villains lack any intrigue ( other than their funny accents ) and the action scenes are poorly delivered .	0
implicitly acknowledges and celebrates the glorious chicanery and self delusion of this most american of businesses , and for that reason it may be the most oddly honest hollywood document of all .	1
it 's mildly entertaining , especially if you find comfort in familiarity . but it 's hardly a necessary enterprise .	1
though only 60 minutes long , the film is packed with information and impressions .	1
when a film is created solely because it 's a marketable product , soulless and ugly movies like this are the result . let your silly childhood nostalgia slumber unmolested .	0
it 's as raw and action packed an experience as a ringside seat at a tough man contest .	1
a little more intensity and a little less charm would have saved this film a world of hurt .	0
just is n't as weird as it ought to be .	0
mr . parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .	1
one of the best rock documentaries ever . wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many .	1
horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .	0
a rambling ensemble piece with loosely connected characters and plots that never quite gel .	0
ver wiel 's desperate attempt at wit is lost , leaving the character of critical jim two dimensional and pointless .	0
a 94 minute travesty of unparalleled proportions , writer director parker seems to go out of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum .	0
this painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications . that have no bearing on the story .	0
fun , flip and terribly hip bit of cinematic entertainment .	1
this film , starring anthony hopkins and chris rock , is your typical 'fish out of water' story . you 've seen them a million times . just one problem fish out of water usually die . this one does .	0
once you get into its rhythm . the movie becomes a heady experience .	1
an erotic thriller that 's neither too erotic nor very thrilling , either .	0
oddly compelling .	1
an exceedingly clever piece of cinema . another great what you do n't see' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performances	1
a subtle and well crafted ( for the most part ) chiller .	1
director kevin bray excels in breaking glass and marking off the miami vice checklist of power boats , latin music and dog tracks . he does n't , however , deliver nearly enough of the show 's trademark style and flash .	0
entertaining enough , but nothing new	0
to the vast majority of more casual filmgoers , it will probably be a talky bore .	0
dramatically lackluster .	0
before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , steven shainberg 's adaptation of mary gaitskill 's harrowing short story . is a brilliantly played , deeply unsettling experience .	0
often overwrought and at times positively irritating , the film turns into an engrossing thriller almost in spite of itself .	1
it tries too hard , and overreaches the logic of its own world .	0
a tender , heartfelt family drama .	1
eccentric enough to stave off doldrums , caruso 's self conscious debut is also eminently forgettable .	0
plays like a series of vignettes clips of a film that are still looking for a common through line .	0
about as big a crowdpleaser as they possibly come .	1
. routine , harmless diversion and little else .	0
sluggish , tonally uneven .	0
the only question . is to determine how well the schmaltz is manufactured to assess the quality of the manipulative engineering . average , at best , i'm afraid .	0
there has been much puzzlement among critics about what the election symbolizes . i believe the message is in the messenger the agent is a woman .	1
a simple tale of an unlikely friendship , but thanks to the gorgeous locales and exceptional lead performances , it has considerable charm .	1
the pacing is glacial , the screenplay is stiff as a board , and things heat up only in the movie 's final scenes .	0
though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working class .	1
the picture , scored by a perversely cheerful marcus miller accordion harmonica banjo abomination , is a monument to bad in all its florid variety .	0
stale , futile scenario .	0
squandering his opportunity to make absurdist observations , burns gets caught up in the rush of slapstick thoroughfare .	0
whenever you think you 've seen the end of the movie , we cut to a new scene , which also appears to be the end . but , no , we get another scene , and then another . you begin to long for the end credits as the desert does for rain .	0
i kept wishing i was watching a documentary about the wartime navajos and what they accomplished instead of all this specious hollywood hoo ha .	0
it all looks and plays like a 40 million version of a game you 're more likely to enjoy on a computer .	0
see scratch for the history , see scratch for the music , see scratch for a lesson in scratching , but , most of all , see it for the passion .	1
elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .	1
snipes relies too much on a scorchingly plotted dramatic scenario for its own good .	0
despite the fact that this film was n't as bad as i thought it was going to be , it 's still not a good movie	0
when in doubt , the film ratchets up the stirring soundtrack , throws in a fish out of water gag and lets the cliched dialogue rip . or else a doggie winks .	0
priggish , lethargically paced parable of renewal .	0
this new zealand coming of age movie is n't really about anything . when it 's this rich and luscious , who cares ?	1
shows holmes has the screen presence to become a major league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that 's scarcely a surprise by the time it arrives .	0
were it not for a sentimental resolution that explains way more about cal than does the movie or the character any good , freundlich 's world traveler might have been one of the more daring and surprising american movies of the year .	1
for a good chunk of its running time , trapped is an effective and claustrophobic thriller .	1
city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for . but how it washed out despite all of that is the project 's prime mystery .	0
it is hard not to be especially grateful for freedom after a film like this .	1
captivates as it shows excess in business and pleasure , allowing us to find the small , human moments , and leaving off with a grand whimper .	1
what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .	1
a gem of a movie .	1
murderous maids may well be the most comprehensive of these films and also strike closest to the truth .	1
just how these families interact may surprise you .	1
morrissette 's script and direction show a fair amount of intelligence and wit but it does n't signify a whole lot either .	0
it 's usually a bad sign when directors abandon their scripts and go where the moment takes them , but olympia , wash . , based filmmakers anne de marcken and marilyn freeman did just that and it 's what makes their project so interesting .	1
where tom green stages his gags as assaults on america 's knee jerk moral sanctimony , jackass lacks aspirations of social upheaval .	0
bogdanich is unashamedly pro serbian and makes little attempt to give voice to the other side .	0
this formulaic chiller will do little to boost stallone 's career .	0
to some eyes this will seem like a recycling of clich s , an assassin 's greatest hits . to others , it will remind them that hong kong action cinema is still alive and kicking .	1
ranges from laugh out loud hilarious to wonder what time it is tedious .	1
a superbly acted and funny gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .	1
even accepting this in the right frame of mind can only provide it with so much leniency .	0
theology aside , why put someone who ultimately does n't learn at the center of a kids' story ?	0
it puts washington , as honest working man john q . archibald , on a pedestal , then keeps lifting the pedestal higher .	0
while not all that bad of a movie , it 's nowhere near as good as the original .	1
the laser projected paintings provide a spell casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciously exposed as history corners them .	1
a one trick pony whose few t a bits still ca n't save itself from being unoriginal , unfunny and unrecommendable .	0
feels more like a rejected x files episode than a credible account of a puzzling real life happening .	0
an unflinching , complex portrait of a modern israel that is rarely seen on screen .	1
even as i valiantly struggled to remain interested , or at least conscious , i could feel my eyelids . getting . very . heavy .	0
hugh grant 's act is so consuming that sometimes it 's difficult to tell who the other actors in the movie are .	0
a hysterical yet humorless disquisition on the thin line between sucking face and literally sucking face .	0
a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .	1
hip hop prison thriller of stupefying absurdity .	0
a pure participatory event that malnourished intellectuals will gulp down in a frenzy .	1
once the downward spiral comes to pass , auto focus bears out as your typical junkie opera .	1
it 's a refreshing change from the self interest and paranoia that shape most american representations of castro .	1
from both a great and a terrible story , mr . nelson has made a film that is an undeniably worthy and devastating experience .	1
a devastating indictment of unbridled greed and materalism .	1
as the story moves inexorably through its seven day timeframe , the picture becomes increasingly mesmerizing .	1
while the humor is recognizably plympton , he has actually bothered to construct a real story this time .	1
like a comedian who starts off promisingly but then proceeds to flop , comedian runs out of steam after a half hour .	0
the movie is a lumbering load of hokum but . it 's at least watchable .	0
nicely combines the enigmatic features of 'memento' with the hallucinatory drug culture of 'requiem for a dream . '	1
you wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .	1
i blame all men for war , the warden 's daughter tells her father . the movie is about as deep as that sentiment .	0
presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it .	1
allen 's best works understand why snobbery is a better satiric target than middle america diversions could ever be .	0
a thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions .	1
a strong piece of work .	1
stands as a document of what it felt like to be a new yorker or , really , to be a human being in the weeks after 9 11 .	1
weirdly , broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .	0
quite simply , a joy to watch and especially to listen to .	1
a showcase for both the scenic splendor of the mountains and for legendary actor michel serrault , the film is less successful on other levels .	0
those who are only mildly curious , i fear , will be put to sleep or bewildered by the artsy and often pointless visuals .	0
a preposterous , prurient whodunit .	0
the vitality of the actors keeps the intensity of the film high , even as the strafings blend together .	1
gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet 's mouth .	1
the tone errs on the shrill side , tempered by a soft southern gentility that speaks of beauty , grace and a closet full of skeletons .	1
could the country bears really be as bad as its trailers ? in a word yes .	0
