sentence	label
greater off staying on the feast circuit	2
in a festive communal festival of rhythm	1
because it was particularly funny	1
it 's a droll little movie with cunning talks and likeable characters	3
, it could have been a thinking man 's monster movie	0
it 's presumption to se a romantic comedy	0
more fun watching bugging than i had with most of the overwhelming summer movies	1
is too earnest that it 's hard to resist his pleas to spare wildlife and respect their environs	1
the modern rut of narrative banality	0
the utter authorisation of a genre perla	3
is almost entirely knucklehead and paltry , carrying everybody gag deux or three times beyond its limit to upholding a laugh	2
is greatest when illustrating the demons bedevilling the modern masculine journey .	1
high production values	1
topics that could making a sailor blushing but lots of chuckles	3
's awfully entertaining	1
predictability is the only winner	0
is a former film editor	1
a slight but loveable film .	1
too far coerced dramas in this brutally lopsided theater , about a juvenile bloke 's bataille with his inexorable past and volatile futures in a highly shapable but especially unfulfilling introduces	2
kwan is a dominus of shadow , quietude , and room noisy	3
shine	1
the milieu is wholly unconvincing ... and the histrionics reach a truly annoying pitch	0
a degree of ailment fairly than revulsion	3
what it is supposed to be , but ca n't really call it a work of art	0
's a great american adventure and a fantastic movies to bring to imax	1
reverent , and tactfully multiple	3
can smell the lubricant on the plot	2
a upper note	3
capped and	2
a clever , arch and rather cold-blooded comedy .	1
tougher than many movies	3
of seeing miserable but endearing characters do extremely unconventional things	1
the best and most mature comedy of the 2002 summer seasons speaks more of the season than the picture	1
of critiquing itself at aii stumble half-step of its development that criticizing feels more like commiserating	0
marks to take on any living of its belonged	0
its own directives	3
to enjoy the perfectly pitched web of tension that chabrol spins	1
expresses our most basic emotions	1
any thinking person is bound to appreciate	1
an whopping roster	3
using an endearing colada , writer manager dover kosashvili picked a slightly dusky stare at relationships , both sex and kindred	3
are , with the drumming routines , among the film 's saving graces .	1
done me unintentionally proverbial	3
have droll with the feature of family life	3
hardly every attempt at humor here is doa .	0
wantonly and smartly utilizing confusion to suggest potentials which infuse the themes with addendum depths and resonant	3
no thinking of it is serious	0
huge gap	0
beautifully choreographer kitchen ballet	1
their legends is foreseeable	2
award-winning	1
the most enchanting film of the yearly	1
faultless film , \ ( wong \ ) arise in the front grades of china 's now numerous , monde renowned filmmakers	3
drags it	0
some emphatic and scared distraction	3
is regularly way off	0
rise almost helpful issues while supplying a salubrious mania for kids	3
to document all this emotional misery	0
in a big corner office in hell , satan is throwing up his hands in surrender , is firing his r & d people , and has decided he will just sieve the master of disguise 24/7 .	0
have been any simple to sit through than this hastily dubbed disaster	0
engulfed in a shabby script	0
one key problem with these ardently christian storylines is that there is never any question of how things will turn out .	0
, we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino 's climate firefight -- and carnes loaf explodes .	0
an unexpectedly sweetened story	3
its tragic waste of lifetimes	0
a little weak	0
achievement	1
's a vicious , numbing experience to supervisory	0
crass and objectionable homage	0
nicely done	1
chief charles stone iii relates more detail to the film 's musical than to the story iine ; what 's best about drumline is its energy .	1
strangling violating payback scary	2
, we should agile artists	2
like a tarantino flick with heart , aka betty is richly detailed , deftly executed and fully absorbing .	1
it ultimately delivers	1
lilo & stitch `` is n't the most edgy chunk of disney animation to hit the plata sieve	0
told with joke and poignancy	3
through its hackneyed elements	0
mediocre	0
ca n't be dismissed as mindless	1
mean terror by suggestion , enough than the overuse of specifically repercussions	3
new friends	1
thus original in its bases idea that you can not assistance but got pinched up	3
i deemed trapped and with no obvious evasion for the entire 100 minutes .	0
are a breath of fresh air	1
about half of them are funny , a few are sexy and none are useful in telling the story , which is paper-thin and decidedly unoriginal .	0
with all the blanket statements and dime store ruminations on graceful	2
written , steadfastly	2
an congenial feel advantageous relatives mockery regardless of thoroughbred	3
though the aboriginal aspect lends the terminate an amazing poignancy , and the story	1
recycling	1
that 's so sloppily written and thrown that you can not believe anyone more central to the creation of bugsy than the dine	0
touched by the film 's sentenced that all life centered on that place , that time and that sport	1
it wo n't make for great cinema , but it is appealing to see where one 's novelty will leaded when awarded the opportunity .	0
its passages of sensitive observation	1
it 's loud and boring ;	0
is a bit like getting all psyched about a chocolate eclair and then biting into it and finding the filling missing	0
otherwise harrowing	2
the voyager there is a great deal of fun .	1
's something unwittingly comic in the film 's drumbeat about authenticity , given the outdated plot and porn forma the film revels in swank condo , costume and parties	2
for the filmmaking 's winning tone	1
pressured to believe of a film more cloyingly sappy than evelyn this year	0
, the weights of water is oppressively monumental	2
every panorama drags , underscoring the obvious , and sentiment is slathered on topped	2
you 've got to admired ... the intensity with which he 's willing to express his convictions	1
a small movie with a large heart .	1
impressionistic	1
it belongs on the big sieve	1
of the conspiracy ` surprises '	1
the film is blazingly vivid and admirable on many levels .	1
for on pant chem	3
dumb story	0
plays like jon le carré with a couple of burnt-out cylinders .	0
a particularly joyless , and exceedingly dull , time	0
` rump '	3
of musical passion	1
a modestly worrying movie	3
will have you talking 'til the ended of the year !	1
