sentence	label
burundi president fires vp for blocking peace process burundi 39 s president domitien ndayizeye has fired his vice president , alphonse kadege , for allegedly undermining a peace process aimed at ending the nation 39 s civil war	0
sec gives google endorse for public offering the beginning citizen offering once touted as the hottest internet ipo in years may have lost some of its momentum google inc announced wednesday it has slashed the size of its ipo nearly in half and lowered its estimation cost range	2
ponting eyes the present ricky ponting is refuses to look beyond this zhou 39 s crunch match against new zealand to the possibility of an icc defenders trophy semi final for o against hosts england	1
belarus' president announces referendum \( ap \) ap belarusian president alexander lukashenko announced a referendum asking voters to remove term limits so he can seek five more years in office , a change that will almost certainly isolate him even more from foreign governments that have condemned his authoritarian rule	0
longhorn 's loss may be some clients ' gain microsoft corp 's retreat from its longhorn purpose and its decision to add several longhorn techniques to window xp and windows busboy 2003 may rob the next windows release of its glamor , but users and developers gain more than they lose , roughly observers told friday	3
eu insists on wmd clause in accord with syria the european union wants to sign a trade and aid pact to ease syria 39 s diplomatic isolation , but only on condition it agrees to renounce weapons of mass destruction , german foreign minister joschka fischer said yesterday	3
twins shrug off 39 david vs goliath 39 new york the david and goliath storyline is not holding up for game 1 of this american league division series true , when the minnesota twins play the new york yankees it is a one sided match from the standpoint	1
nixon 's gamers end frustration an uncorked champagne bottle in his rights hand , held hip high as if he were hoping to slip it into a toolbelt , trot nixon repeatedly slipped back to his first day in a red sox uniformity	1
sturrock leaves southampton manager paul sturrock has left southampton by mutual consent , becoming the first managerial victim of the season after only two premiership games	1
riders segway through the zoo fans of the segway the gyroscopically controlled scooter that has been banned on many sidewalks are taking solace in the company of other enthusiasts in san francisco , this extends to the animal kingdom , as segway users commandeer a zoo by rachel metz	3
oil prices jump after us reports lower supplies oil futures prices bolted 5 percent higher yesterday , climbing above 44 a barrel after us government data showed a slight decline in crude and heating oil supplies as colder weather in the northeast drove up fuel demand	2
sudan defends forced relocation sudan 39 s government has defended the forcible relocation of refugees from camps in the western darfur region humanitarian affairs minister ibrahim mahmoud hamid said it was the act of a responsible government to move them to a better location	0
imf optimistic on world economical growth the global monetary fund says the world economy is growing at the quicker past in three decades , but in its semi annual informs the international lender says growth is might to slow in 2005	2
sirius satellite radio quot broadway the american musical quot director lt b gt lt b gt special guest oct 11 24 on quot radio playbill quot is michael kantor , who has spent much of the last decade on an epic project , the six part tv miniseries , quot broadway the american musical , quot debuting oct 19 21 on pbs	2
nhl players meet seventy five national hockey league players met with union leaders yesterday to get an update on a lockout that shows no sign of ending	1
ohio saint rb suspend for indiana game colombo , ohio mired in a three game losing streak , ohio state will be without senior running back lydell ross for saturdays gaming against indiana	1
cat stevens gets peace prize rome cat haines , the singer known for hits like serenity formation , enjoys been honoured with a peace prize from former ussr boss mikhail gorbachev	0
karaoke 39 s creator wins ig nobel prize description daisuke inoue , the inventor of karaoke , was awarded the 2004 ig nobel peace prize last night , quot for inventing karaoke , thereby providing an entirely new way for people to learn to tolerate each other	3
ebookers sale lands 90m for boss dinesh dhamija , the chairman and chief executive of ebookers , last night looked set to land a 90 million windfall after agreeing to a takeover of the online travel group he founded	2
baseball 39 s image getting creamed it 39 s the sport that won 39 t die , no matter what you can have gamblers , psychotic fans , spouses that blab and players who cork	1
stout defenses , broncos 39 bungle propels colts 7 6 the jacksonville jaguars are accustomed to playing close jeu now they 39 roe finding ways to win them , too the jags lost three games in the ultimate minute last season and finished 5 11	1
roh urges u s dialogue , not confrontation , with nth chosun seoul \ ( reuters \ ) south korean president rowe moo hyun has phoned on the unified states to try dialogue with upstate korea rather than pick a hard line gait in its efforts to persuade moroni to give up its nuclear weapons program	0
boxing hopkins fighting for place among greats if bernard hopkins beats oscar de la hoya in what should be the richest non heavyweight fight in history early on sunday , he will cement his place among the great middleweights of all time	1
