sentence	label
2906	a sophomoric exploration of 'life problems' most people solved long ago or at least got tired of hearing people kvetch about .
5097	does what should seem impossible it makes serial killer jeffrey dahmer boring .
9466	one of those exceedingly rare films in which the talk alone is enough to keep us involved .
4554	aspires to the cracked lunacy of the adventures of buckaroo banzai , but thanks to an astonishingly witless script ends up more like the adventures of ford fairlane .
4751	while there 's likely very little crossover appeal to those without much interest in the elizabethans ( as well as rank frustration from those in the know about rubbo 's dumbed down tactics ) , much ado about something is an amicable endeavor .
typical cinema served up with nub and comedian	3
this is one of polanski 's nicest films	3
it has become apparent that the naivety 's good years are long preceding	2
there is no substitute for on screens chemistry , and when friel pulls the shackles that manufacture williams sink into melancholia , the reaction in william is as visceral as a stomach punch	3
4678	there 's an admirable rigor to jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down .
6174	a charming , quirky and leisurely paced scottish comedy except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .
822	a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia
3260	la cinta comienza intentando ser un drama , r pidamente se transforma en una comedia y termina por ser una parodia absolutamente predecible
7447	light years ahead of paint by number american blockbusters like pearl harbor , at least artistically .
2417	you 're too conscious of the effort it takes to be this spontaneous .
gaping plots orifices washbasin this 'sub ' norm thrillers and tow readers eagerness to crushing depths	2
5458	run , do n't walk , to see this barbed and bracing comedy on the big screen .
thanks to hynes ' absolute control of the film 's ambiance , and buoyed by three terrific representations , far from heaven actually pulling off this stylistic juggling act	3
a handsome , if petty , crust of a movie	3
a masterfully established but potentially devoid mockumentary	2
it rotations out to se cleverer and more diabolical than you could have guessed at the initiating	3
3210	it drowns in sap .
9797	dense and thoughtful and brimming with ideas that are too complex to be rapidly absorbed .
2629	a thinly veiled excuse for wilson to play his self deprecating act against murphy 's well honed prima donna shtick .
471	the problem with antwone fisher is that it has a screenplay written by antwone fisher based on the book by antwone fisher .
281	some of the computer animation is handsome , and various amusing sidekicks add much needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity .
a muckraking occupations , the cinematic synonym of a lawful indict , and a fairly effectively one at that	3
876	this heist flick about young brooklyn hoods is off the shelf after two years to capitalize on the popularity of vin diesel , seth green and barry pepper . it should have stayed there .
at the one hours marques , herzog only operates out of think and the pace revolves favorably leaden as the film falters to its inescapable tragic conclusion	2
7243	brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special .
the cutest aspect leaves an awful corrosive tasting	2
the documents and the generating itself are lite more than routine	2
there 's nothing more pleasing during a summer of events movies than a espionage thrillers like the bourne identity that 's bagged with just as mucho intelligence as operations	3
9298	obligada para impotentes , daneses , camareras italianas , profesores de idiomas , y todo aquel que desee una lengua para expresar su amor .
toback 's craze for schoolroom split screen , stammering edition and pompous references to wittgenstein and kirkegaard merge uneasily with the titillating hardware	2
not a affordable slasher theatre , as the subjected aspect would propose , but is a meager like a nature filmmaking , showing a patient predator and his nonsensical quarry	2
128	none of this is half as moving as the filmmakers seem to think .
miller has styled an exhilarating conte of kindergarten instincts and untrue behave of illness	3
3975	it is bad , but certainly not without merit as entertainment .
5477	a sad , superior human comedy played out on the back roads of life .
even with a green mohawks and a sheets of thermals rouge thermals tattoos embrace his shoulder , however , kilmer noises to se masquerading , enough than acting and that departs a orifice in the centres of the salton navy	2
4186	it 's the kind of under inspired , overblown enterprise that gives hollywood sequels a bad name .
7673	toes the fine line between cheese and earnestness remarkably well everything is delivered with such conviction that it 's hard not to be carried away .
sum is jack ryan 's ai over give credit to everyone from robinson down to the major grip that this fatty move cooperated specially confer lending to affleck	3
hawke derives out the better from his gargantuan smelter in surprisingly hinged portrayals that are astute and too expressive they can maintenance the poetic airplane in burdette 's dialog	3
who knows what fully godard is on about in this film , but his words and photography do n't got to add up to mesmerize you	3
as pur over the senior trash , any john waters movie haya it beat by a national kilometre	2
bears is diabolical not 'terrible filmmaking ' bad , but more like , ' i once had a nightmare loved this , and it 's now arrived true ' bad	2
its almost too stunning coastal setting distracts weakly from an edgy and bona naturedly aimless story	3
619	stirs potentially enticing ingredients into an uneasy blend of ghost and close encounters of the third kind .
a well effected movie of a self reflexive , philosophical nature	3
2611	denzel washington 's efforts are sunk by all the sanctimony .
highly uneven and senseless margarita cheery hours isnt recalled the el cheapo mojitos operate within	2
7405	steers has an unexpectedly adamant streak of warm blooded empathy for all his disparate manhattan denizens especially the a holes .
a rojas exercise in both animation and storytelling	2
1124	has a customarily jovial air but a deficit of flim flam inventiveness .
we root for clara and paul , even like them , whereas likely it 's an emotions stronger to shaming	3
1060	shreve 's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less compelling soap opera .
4419	not everything in the film works , including its somewhat convenient ending .
beneath the filmmaking 's blatant determining to stupor at any prize lies considerable powers and determining , countersigned by pur nerve	3
it could n't grilled your gut and it 's not intended to it 's merely a blandly films surgical reviewing of what makes a joke a prank	3
1368	the result is an 'action film' mired in stasis .
the narrator and the other personages strive to reassure us that acting transfigures esther , but she 's never noted speaking on phased one feels cheated , and esther seems to persist an unchanged imbecilic	2
6321	andy garcia enjoys one of his richest roles in years and mick jagger gives his best movie performance since , well , performance .
6769	one from the heart .
3789	it is parochial , accessible to a chosen few , standoffish to everyone else , and smugly suggests a superior moral tone is more important than filmmaking skill
the verbal that comes to esprit , while seeing arik rohmer 's eulogy to a gutsy scottish madame , is painterly	3
based on a devilishly witty script by heather mcgowan and niels muller , the films gets huge laughs , but never at the loads of its characters	3
gods is great , the movie 's not	2
3588	they threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .
this frequent hysterical farce manages to generate the underbelly kidding of lowbrow slapstick without undercutting its high minded appeal	3
practically nothing in the pool is new , but if you growing up on the stalker flick of the 1980 's this one should assuage you for 90 minutes	2
10538	meticulously uncovers a trail of outrageous force and craven concealment .
7156	. a trashy little bit of fluff stuffed with enjoyable performances and a bewildering sense of self importance
tempting to make head or tail of the tales in the hip jumps indie snipes is enough to give you brain strain and the paycheck off is insignificant	2
1227	it concentrates far too much on the awkward interplay and utter lack of chemistry between chan and hewitt .
a magnifique , amusing ii hours you reach the idea , though , that kapur intended the film to be more than that	3
all explores that proves is that there is truthfully only one cinematic 's amounting of good gags to are reunited from the assumption	2
comedian , like its subjects , prescribes the ware and audiences will has a fun , no frills ride	3
3904	mostly , shafer and co writer gregory hinton lack a strong minded viewpoint , or a sense of humor .
at once sentimental and lavishly analytical , the cosby seinfeld encounter alone confirms the gravest weigh behind this superficially loose , larky documentation	3
an elder fashioned but emotionally agitate adventure tale of the sort they rarely make over	3
the year 2002 haya conjuring up more arrive of age stories than seem possible , but take care of my cat emerges as the very better of them	3
3832	it 's a brilliant , honest performance by nicholson , but the film is an agonizing bore except when the fantastic kathy bates turns up . bravado kathy !
as fractions of mr dong 's continuing exploration of homosexuality in america , family fundamentals is an earnest scrutinized in desolation	3
1079	. little more than a well acted television melodrama shot for the big screen .
4453	at once overly old fashioned in its sudsy plotting and heavy handed in its effort to modernize it with encomia to diversity and tolerance .
5354	not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare .
4524	it all starts to smack of a hallmark hall of fame , with a few four letter words thrown in that are generally not heard on television .
	sentence
without nos discontinue techno or the existential subtleties of a kieslowski morals stories , maelstr metre is just another wintertime sleeper	2
9003	inventive , fun , intoxicatingly sexy , violent , self indulgent and maddening .
7006	enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .
8054	sex is one of those films that aims to confuse .
the most lll conceived animated comedy since the 1991 dog rove dangerfield	2
undertakes loved one long , rambling sketching motivated by the artworks of johns waters and todd solondz , instead than a entirely elaborated novels	2
the manager haya infused autonomous awareness into the proceedings at eveything turn the outcomes are very more antagonizing than including	2
huppert gives erika a person that is so interesting that you identify yourself staring hypnotically at her , try to comprehension her and asking if she 'll fissure	3
