sentence	label
can not supporting be entertained by the sight of someone getting away with something	5
with we were soldiers , hollywood makes a gutsy attempt to tell a story about the vietnam war before the pathology set in	7
is entertaining on an inferior tier	4
its invitingly upbeat overture 	1
 a 94 minute joking	2
an inelegant combination of two unrelated shorts that falls far short of the director 's previous work in terms of both thematic content and narrative strength . 	0
eloquent , reflective and beautifully 	1
has rewards , from the exoticism of its seas of berm to the fierce grandeur of its sweeping wrestling scenes .	5
's mostly a pleasure to watch 	1
hodgepodge .	4
the humans are acting like puppets 	0
become a historically significant work as allright as a masterfully made one	5
its target audience talked all the way through it 	0
intelligence , wit or innovation 	1
draws its considerable power from simplicity	5
with the subjected of love headboard on	7
less by whoo factors than by its funny , moving wool that holds up well after two decades	5
 loveliest action hero performances	2
the performances are so overstated , the effect comes off as self-parody . 	0
 meaning in coitus or worked	3
how good 	1
engrossing and infectiously enthusiastic documentary	5
the astonishingly pivotal role 	1
's so downbeat and nearly humorless	4
the cinematographers know how to please the eye ,	5
crafted import 	1
orchestrated violence overshadows everything , embracing most of the agents	6
like having two guys yelling in your face for two hours 	0
a compelling motion 	1
a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 	1
where this was lazy but enjoyable 	1
worth a look as a curiosity 	1
inarticulate	4
a lynch love premonition	7
about modify times , clashing cultures and the pleasures of a well-made pizza	5
an art form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand as life . 	1
, but miss wonton floats beyond reality with a certain degree of wit and dignity 	1
its own clichés	4
generate any interest in an uncaring heroin captures up in an complicated conspiracies that while intelligently partnered out , can not overcome bla characters	6
be excited that it has n't gone straight to video ? 	0
a party-hearty teen 	1
are relegated to the context a rejoice step impatiently from the suzie jesse raphael atmosphere of kino like philadelphia and american beaut	7
the cast and crews did n't sign a pact to burn the negative and the script and pretend the whole thing never existed	4
in an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids 	0
capable thriller 	1
proves once again he has n't losing his touch , bringing off a splendid performance in an clearly middling film .	5
is a festival film that would have been better off staying on the festival circuit 	0
a ruffle in what is already an erratic career 	0
a blob , engrossing melodrama	7
at its visual delights 	1
duplicitous claptrap , a period piece films of the zhou , pastures longtime blarney	6
probabilities to find adored in the most unlikely putting	7
sprinkled with a few remarks so focused toward engendering audience sympathy that you might think he was running for office -- or try to win over a probation officer	4
a whole heap of nothing at the core of this slight coming-of-age/coming-out tale	4
pastel landscapes 	1
pokes , poses , picked expressionistic license and hits a nerve	7
 both evoke an atmospheric of dignity that 's faultless for the prideful warrior that even persists in the soul of these personages	3
be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest 	0
mostly trusted , blithely low fundamental and	7
the right choices at every turn 	1
 with universal cail	3
, you ca n't assist but gets apprehended up in the elation of the corporation 's incredible growing	7
endearing , caring	5
 there 's something fishy about a seasonal holiday kids ' movie that draws its moment of most convincing emotional gravity from a scene where santa gives gifts to grownups	2
it certainly ca n't feel like a film that strays past the two and a half mark	5
 dog soldiers does n't overtake genre	2
has been awarded mythic status in contemporary culture 	1
 calm , self stressed portrait	3
 may se one of the most enticing films ever brought about an otherwise horrid , and plainly horrific , topic a youth guy in iike with his stepmom	3
it 's not like having a real film of nijinsky , but at least it 's better than that eponymous 1980 biopic that used soap in the places where the mysteries lingered . 	1
unfocused	4
rather gore free	7
there 's nothing like love to give a movie a b-12 shot	5
 various \( and better \)	3
tadpoles may be one of the most fascinating movies ever made about an otherwise gruesome , and truthfully creepy , subject a teenage boy in love with his stepmother	7
did n't care	4
 directed with predisposition and jurisdiction	3
if you like quirky , odd movies and/or the ironic 	1
designed to fill deadline ,	4
pleasurable 	1
minimal cleavage	6
by orchestrating a finale that is impenetrable and dull	4
takes a staggering , deft turn at the midway point	7
 the film is a droll adventure and i shamelessly cared it	3
poverty	4
, nasty journey	4
 never nonexistent in eye popping visuals	3
